,randomx,progpow,cuckatoo,height,timestamp
0,7491854,7578026697,1,898749,1620071091
0,7502506,7578026697,1,898750,1620071372
0,6724155,6916326515,1,899432,1620112550
0,6724155,6833554583,1,899433,1620112565
0,6704075,6833554583,1,899434,1620112617
0,6704075,6812601205,1,899435,1620112709
0,6726267,6812601205,1,899436,1620112718
0,6717553,6812601205,1,899437,1620112727
0,6717553,6834335951,1,899438,1620112733
0,6709182,6834335951,1,899439,1620113000
0,6709182,6961576017,1,899440,1620113085
0,6743167,6961576017,1,899441,1620113247
0,6692525,6961576017,1,899442,1620113534
0,6692525,6821509720,1,899443,1620113621
0,6625619,6821509720,1,899444,1620113633
0,6614517,6821509720,1,899445,1620113666
0,6614517,6677151846,1,899446,1620113828
0,6601679,6677151846,1,899447,1620113868
0,6601679,6682121982,1,899448,1620113959
0,6614637,6682121982,1,899449,1620113965
0,6576140,6682121982,1,899450,1620113972
0,6576140,6668964968,1,899451,1620114033
0,6689815,6668964968,1,899452,1620114211
0,6689815,6671898012,1,899453,1620114229
0,6646655,6671898012,1,899454,1620114263
0,6612941,6671898012,1,899455,1620114275
0,6612941,6593384980,1,899456,1620114296
0,6589350,6593384980,1,899457,1620114348
0,6589350,6703179973,1,899458,1620114425
0,6630429,6703179973,1,899459,1620114437
0,6576577,6703179973,1,899460,1620114452
0,6605991,6773969647,1,899463,1620114513
0,6652594,6773969647,1,899464,1620114541
0,6691266,6773969647,1,899465,1620114641
0,6691266,6809214852,1,899466,1620114694
0,6697224,6809214852,1,899467,1620114697
0,6697224,6809214852,1,899468,1620114785
0,6712562,6809214852,1,899469,1620114813
0,6712562,6851603401,1,899470,1620114862
0,6668736,6851603401,1,899471,1620114889
0,6668736,6847945864,1,899472,1620114975
0,6669433,6847945864,1,899473,1620114981
0,6638630,6847945864,1,899474,1620115049
0,6638630,6859947185,1,899475,1620115117
0,6629162,6859947185,1,899476,1620115138
0,6638426,6859947185,1,899477,1620115153
0,6638426,6848853973,1,899478,1620115239
0,6648879,6848853973,1,899479,1620115279
0,6648879,6879549841,1,899480,1620115395
0,6715923,6879549841,1,899481,1620115419
0,6672858,6879549841,1,899482,1620115429
0,6672858,6854096288,1,899483,1620115490
0,6697474,6854096288,1,899484,1620115496
0,6697474,6846735828,1,899485,1620115520
0,6730663,6846735828,1,899486,1620115578
0,6847892,6846735828,1,899487,1620115594
0,6847892,6921262425,1,899488,1620115636
0,6853998,6921262425,1,899489,1620115701
0,6853998,6995922026,1,899490,1620115728
0,6900909,6995922026,1,899491,1620115820
0,6914208,6995922026,1,899492,1620115863
0,6914208,6957082556,1,899493,1620115887
0,6911923,6957082556,1,899494,1620115982
0,6941047,6957082556,1,899495,1620116012
0,6941047,6925342004,1,899496,1620116021
0,6922307,6925342004,1,899497,1620116083
0,6922307,7019624475,1,899498,1620116107
0,6915791,7019624475,1,899499,1620116144
0,6933889,7019624475,1,899500,1620116410
0,6933889,7008515091,1,899501,1620116443
0,6919123,7008515091,1,899502,1620116449
0,6919123,6893852239,1,899503,1620116468
0,6946675,6893852239,1,899504,1620116514
0,7054946,6893852239,1,899505,1620116526
0,7054946,6893021343,1,899506,1620116584
