,randomx,progpow,cuckatoo,height,timestamp
0,4779148,5278420763,1615,928833,1621858366
0,4755328,5278420763,1615,928834,1621858409
0,4755328,5260343678,1615,928835,1621858464
0,4722628,5260343678,1615,928836,1621858523
0,4696046,5260343678,1615,928837,1621858575
0,22363439,14068755624,77300,1017030,1627140845
0,22328684,14068755624,77300,1017031,1627140891
0,22298339,14068755624,77300,1017032,1627140903
0,22298339,14133902609,77300,1017033,1627140906
0,22263295,14098982036,78439,1017133,1627146950
0,22361577,14098982036,78439,1017134,1627146957
0,22361577,14120826790,78439,1017135,1627146972
0,22234441,14071899244,78439,1017141,1627147388
0,22150821,14071899244,78439,1017142,1627147465
0,22150821,14235156394,78439,1017143,1627147678
0,22179359,14235156394,78439,1017144,1627147705
0,21805915,14235156394,78439,1017145,1627147711
0,21805915,14147406443,78439,1017146,1627147781
0,21763210,14147406443,78439,1017147,1627147787
0,21763210,14150047923,78439,1017148,1627147800
0,21728285,14150047923,78439,1017149,1627147839
0,22080213,14150047923,78439,1017150,1627147970
0,22080213,14156272776,78439,1017151,1627147983
0,22047824,14156272776,78439,1017152,1627147992
0,22047824,13999121308,78439,1017153,1627148071
0,22085880,13999121308,78439,1017154,1627148098
0,22044345,13999121308,78439,1017155,1627148114
0,22044345,14356433398,78439,1017156,1627148251
0,22046102,14356433398,78439,1017157,1627148303
0,22046102,14429949863,78439,1017158,1627148327
0,21911510,14429949863,78439,1017159,1627148370
0,21894949,14429949863,78439,1017160,1627148498
0,21894949,14383794785,78439,1017161,1627148639
0,22011544,14383794785,78439,1017162,1627148681
0,22011544,14259853677,78439,1017163,1627148703
0,21940457,14259853677,78439,1017164,1627148736
0,21991065,14259853677,78439,1017165,1627148740
0,21991065,14231737645,78439,1017166,1627148782
0,22156996,14231737645,78439,1017167,1627148849
0,22156996,14231737645,78433,1017168,1627149026
0,22134396,14231737645,78433,1017169,1627149081
0,22134396,14259677475,78433,1017170,1627149096
0,21983084,14259677475,78433,1017171,1627149099
0,21983084,14192025798,78433,1017172,1627149121
0,22192409,14192025798,78433,1017173,1627149185
0,22292470,14192025798,78433,1017174,1627149222
0,22292470,14351112465,78433,1017175,1627149240
0,22281085,14351112465,78433,1017176,1627149310
0,22371552,14351112465,78433,1017177,1627149350
0,22371552,14359241033,78433,1017178,1627149365
0,22663485,14359241033,78433,1017179,1627149384
0,22663485,14320957345,78433,1017180,1627149466
0,22657905,14320957345,78433,1017181,1627149481
0,22663424,14320957345,78433,1017182,1627149503
0,22663424,14322233656,78433,1017183,1627149512
0,22703412,14322233656,78433,1017184,1627149524
0,22703412,14407681062,78433,1017185,1627149537
0,22667073,14407681062,78433,1017186,1627149576
0,22661343,14407681062,78433,1017187,1627149586
0,22661343,14455387240,78433,1017188,1627149833
0,22768025,14455387240,78433,1017189,1627149873
0,22768025,14474313614,78433,1017190,1627149958
0,22421932,14474313614,78433,1017191,1627149970
0,22352735,14474313614,78433,1017192,1627150028
0,22352735,14434973254,78433,1017193,1627150031
0,22513390,14434973254,78433,1017194,1627150120
0,22627110,14434973254,78433,1017195,1627150178
0,22627110,14369571439,78433,1017196,1627150205
0,22521821,14369571439,78433,1017197,1627150288
0,22521821,14335645698,78433,1017198,1627150355
0,22694988,14335645698,78433,1017199,1627150407
0,22566734,14335645698,78433,1017200,1627150428
0,22566734,14221690334,78433,1017201,1627150474
0,22665127,14221690334,78433,1017202,1627150578
0,22665127,14291450911,78433,1017203,1627150688
0,22809521,14291450911,78433,1017204,1627150706
0,22597901,14291450911,78433,1017205,1627150807
0,22597901,14183885891,78433,1017206,1627150832
0,22768423,14183885891,78433,1017207,1627150890
0,22768423,14043410356,78433,1017208,1627150991
0,22719844,14043410356,78433,1017209,1627151318
0,22982354,14043410356,78433,1017210,1627151324
0,22982354,14411489117,78433,1017211,1627151339
0,22349437,14411489117,78433,1017212,1627151458
0,22349437,14537954035,78433,1017213,1627151471
0,22346358,14537954035,78433,1017214,1627151480
0,22439426,14537954035,78433,1017215,1627151565
0,22439426,14602214212,78433,1017216,1627151602
0,22473469,14602214212,78433,1017217,1627151761
0,22473469,14602214212,78662,1017218,1627151816
0,22809578,14602214212,78662,1017219,1627151847
0,23440465,14398489074,80499,1018643,1627237594
0,23664293,14398489074,80499,1018644,1627237703
0,23631433,14398489074,80499,1018645,1627237730
0,23631433,14320860558,80499,1018646,1627237736
0,23472347,14320860558,80499,1018647,1627237901
0,23472347,14398119864,80499,1018648,1627237907
0,23566907,14398119864,80499,1018649,1627237913
0,23626716,14398119864,80499,1018650,1627237962
0,23626716,14242972978,80499,1018651,1627237983
0,23726891,14242972978,80499,1018652,1627237999
0,23726891,14341640581,80499,1018653,1627238038
0,23679467,14341640581,80499,1018654,1627238087
0,23983660,14341640581,80499,1018655,1627238112
0,23983660,14493585849,80499,1018656,1627238139
0,24177847,14493585849,80499,1018657,1627238191
0,24177847,14546119537,80499,1018658,1627238234
0,24262702,14546119537,80499,1018659,1627238264
0,24343362,14546119537,80499,1018660,1627238371
0,24343362,14496001204,80499,1018661,1627238444
0,24386640,14496001204,80499,1018662,1627238447
0,24386640,14560978813,80499,1018663,1627238514
0,24295257,14560978813,80499,1018664,1627238532
0,24175835,14560978813,80499,1018665,1627238572
0,24175835,14628495949,80499,1018666,1627238624
0,24196595,14628495949,80499,1018667,1627238664
0,24196595,14628495949,80794,1018668,1627238703
0,24139172,14628495949,80794,1018669,1627238767
0,24139172,14611095169,80794,1018670,1627238792
0,24100933,14611095169,80794,1018671,1627238816
0,24100933,14626572300,80794,1018672,1627238837
0,24112816,14626572300,80794,1018673,1627238874
0,24111736,14626572300,80794,1018674,1627238877
0,24111736,14769747766,80794,1018675,1627238896
0,24062225,14769747766,80794,1018676,1627238902
0,24106789,14769747766,80794,1018677,1627239021
0,24106789,14858721992,80794,1018678,1627239045
0,24215504,14858721992,80794,1018679,1627239048
0,24215504,14754734970,80794,1018680,1627239155
0,24293921,14754734970,80794,1018681,1627239237
0,24177416,14754734970,80794,1018682,1627239262
0,24177416,14739168790,80794,1018683,1627239320
0,24046980,14739168790,80794,1018684,1627239365
0,24046980,14871439848,80794,1018685,1627239490
0,23934980,14871439848,80794,1018686,1627239798
0,23681207,14871439848,80794,1018687,1627239996
0,23681207,14992052490,80794,1018688,1627240081
0,23076780,14992052490,80794,1018689,1627240158
0,23076780,14764319491,80794,1018690,1627240161
0,23255343,14764319491,80794,1018691,1627240167
0,23457118,14764319491,80794,1018692,1627240207
0,23457118,14692948628,80794,1018693,1627240280
0,23932448,14692948628,80794,1018694,1627240347
0,23846979,14692948628,80794,1018695,1627240396
0,23846979,14694350866,80794,1018696,1627240423
0,23892109,14694350866,80794,1018697,1627240545
0,23892109,14765452324,80794,1018698,1627240646
0,23828952,14765452324,80794,1018699,1627240676
0,23665793,14765452324,80794,1018700,1627240822
0,23665793,14656470964,80794,1018701,1627240917
0,23860418,14656470964,80794,1018702,1627241115
0,23860418,14518817734,80794,1018703,1627241356
0,23655974,14518817734,80794,1018704,1627241387
0,23122441,14518817734,80794,1018705,1627241432
0,23122441,14341378345,80794,1018706,1627241451
0,23359485,14341378345,80794,1018707,1627241560
0,23359485,14389646670,80794,1018708,1627241594
0,70241052,43036004003,242384,1018711,1627241661
0,23467877,14256710662,80794,1018712,1627241682
0,23467877,14290096853,80794,1018713,1627241740
0,23769869,14290096853,80794,1018714,1627241774
